"lat","lng","type"
17.4267031,78.4531248,"Mall"
17.4192183,78.4485509,"Mall"
17.4293888,78.4560407,"Mall"
17.4361637,78.4569526,"Mall"
17.434573,78.3866137,"Mall"
17.4381368,78.3856447,"Mall"
17.3918634,78.4750168,"Mall"
17.3932215,78.4756828,"Mall"
17.4260132,78.4353351,"Mall"
17.4832476,78.393631,"Mall"
17.4044877,78.4815764,"Mall"
17.484273,78.38908,"Mall"
17.457494,78.3644967,"Mall"
17.4418467,78.4957843,"Mall"
17.440683,78.48989,"Mall"
17.4411535,78.396851,"Mall"
17.4404892,78.4897658,"Mall"
17.372511,78.5067961,"Mall"
17.443149,78.462811,"Mall"
17.4459627,78.4197681,"Mall"
17.4079617,78.4975129,"Mall"
17.3640403,78.4273276,"Mall"
17.392877,78.4740622,"Mall"
17.4480743,78.3790231,"Mall"
17.368106,78.527178,"Mall"
17.4006674,78.4748141,"Mall"
17.3420531,78.4888434,"Mall"
17.368279,78.522935,"Mall"
17.435073,78.451963,"Mall"
17.495635,78.332503,"Mall"
17.4897402,78.3931169,"Mall"
17.4959748,78.3977321,"Mall"
17.4582411,78.3653176,"Mall"
17.5420315,78.5758468,"Mall"
17.3445118,78.5292937,"Mall"
17.4262755,78.4529829,"Mall"
17.3383953,78.4952599,"Mall"
17.4267183,78.4531787,"Mall"
17.3730755,78.5077831,"Mall"
17.4233397,78.4593663,"Mall"
17.4435743,78.3541985,"Mall"
17.450447,78.380713,"Mall"
17.4425199,78.4958348,"Mall"
17.4818239,78.2982288,"Mall"
17.4194119,78.4485841,"Mall"
17.4402528,78.4821492,"Mall"
17.3742101,78.4994971,"Mall"
17.41647,78.438246,"Mall"
17.4313,78.447775,"Mall"
17.4232823,78.4492029,"Mall"
17.4289325,78.4559457,"Mall"
17.4263203,78.4530365,"Mall"
17.367438,78.524173,"Mall"
17.4151149,78.4489489,"Mall"
17.402679,78.411191,"Mall"
17.404912,78.471291,"Mall"
17.4167083,78.4318983,"Mall"
17.384245,78.48324,"Mall"
17.4635809,78.451976,"Mall"
17.445824,78.3773954,"Mall"
17.3687826,78.5246706,"Mall"
17.4170737,78.4120071,"Mall"
17.4919252,78.3935693,"Mall"
17.3983556,78.5021861,"Mall"
17.3629023,78.5431953,"Mall"
17.4222654,78.4497616,"Mall"
17.4376501,78.4483899,"Mall"
17.4342758,78.4047295,"Mall"
17.5877281,78.0836695,"Mall"
17.4150356,78.4489435,"Mall"
17.395524,78.52694,"Mall"
17.4291138,78.4553013,"Mall"
17.4960541,78.1394219,"Mall"
17.4981134,78.3608716,"Mall"
17.3730973,78.5076812,"Mall"
17.3945695,78.4269549,"Mall"
17.4152071,78.4488845,"Mall"
17.3947447,78.4380752,"Mall"
17.4954193,78.3244427,"Mall"
17.4277636,78.4533633,"Mall"
17.3677461,78.5285499,"Mall"
17.4151482,78.4489757,"Mall"
17.410874,78.468282,"Mall"
17.4987529,78.3851123,"Mall"
17.401517,78.485987,"Mall"
17.36865,78.531039,"Mall"
17.4171579,78.4532889,"Mall"
17.3998856,78.486898,"Mall"
17.3867727,78.4538528,"Mall"
17.4831098,78.3933644,"Mall"
17.4265327,78.4530151,"Mall"
17.4506335,78.5323195,"Mall"
17.388223,78.475398,"Mall"
17.4919636,78.393631,"Mall"
17.368287,78.526469,"Mall"
17.4264803,78.4529574,"Mall"
17.461212,78.50145,"Mall"
17.4033112,78.4948763,"Mall"
17.496405,78.359078,"Mall"
17.4597426,78.5003188,"Mall"
17.478525,78.5595953,"Mall"
17.319488,78.5192783,"Mall"
17.4230869,78.4494638,"Mall"
17.4631869,78.4618664,"Mall"
17.428518,78.454816,"Mall"
17.435585,78.455421,"Mall"
17.4419362,78.4880393,"Mall"
17.4439351,78.4652299,"Mall"
17.4348394,78.3676565,"Mall"
17.5012598,78.4782077,"Mall"
